FOOD_NAME,EXPIRY_DATE
TRUFFLES COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
TURNIP GREENS — FRESH COOKED,4
TURNIP GREENS - FRESH RAW,2
TURNIP GREENS — COMMERCIALLY FROZEN,330
TURNIP GREENS COMMERCIALLY CANNED OR BOTTLED — OPENED,3
TURNIP GREENS COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
TURNIPS - COMMERCIALLY FROZEN,330
TURNIPS - FRESH COOKED,4
TURNIPS - FRESH RAW,17
VEGETABLE BROTH OR STOCK - HOMEMADE,3
VEGETABLE BROTH OR STOCK COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED - OPENED,4
VEGETABLE BROTH OR STOCK COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,1460
VEGETABLE JUICE COCKTAIL COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,12
VEGETABLE JUICE COCKTAIL COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,630
VEGETABLE SOUP - HOMEMADE,3
VEGETABLE SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED— OPENED,3
VEGETABLE SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED— UNOPENED,1460
VEGGIE BURGERS - PURCHASED COMMERCIALLY FROZEN,180
WATER CHESTNUTS - FRESH RAW,8
WATER CHESTNUTS  COMMERCIALLY CANNED OR BOTTLED - OPENED,7
WATER CHESTNUTS COMMERCIALLY CANNED OR BOTTLED - UNOPENED,1460
WATERCRESS - FRESH RAW,2
YAMS - FRESH COOKED (INCLUDING BAKED MASHED CASSEROLES),4
YAMS - FRESH RAW,6
YAMS COMMERCIALLY CANNED OR BOTTLED — OPENED,3
YAMS COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
ZUCCHINI -  FRESH RAW WHOLE,4
